Passenger_Name__c,Title__c,Survived__c,Travel_Class__c,Sex__c,Age__c,Age_Group__c,Port_of_Embarkation__c,Fare__c,Fare_Category__c,Deck__c,Cabin__c,Ticket_Number__c,Siblings_Spouses__c,Parents_Children__c,Family_Group__c,Had_Lifeboat__c,Lifeboat__c,Home_Destination__c
"White, Mrs. John Stuart (Ella Holmes)",Mrs,Yes,First,Female,55,Middle Aged,Cherbourg,135.6333,Luxury,C,C32,PC 17760,0,0,Solo,Yes,8,"New York, NY / Briarcliff Manor NY"
"Wick, Miss. Mary Natalie",Miss,Yes,First,Female,31,Young Adult,Southampton,164.8667,Luxury,C,C7,36928,0,2,Small Family,Yes,8,"Youngstown, OH"
"Wick, Mr. George Dennick",Mr,No,First,Male,57,Senior,Southampton,164.8667,Luxury,Unknown,,36928,1,1,Small Family,No,,"Youngstown, OH"
"Wick, Mrs. George Dennick (Mary Hitchcock)",Mrs,Yes,First,Female,45,Middle Aged,Southampton,164.8667,Luxury,Unknown,,36928,1,1,Small Family,Yes,8,"Youngstown, OH"
"Widener, Mr. George Dunton",Mr,No,First,Male,50,Middle Aged,Cherbourg,211.5000,Luxury,C,C80,113503,1,1,Small Family,No,,"Elkins Park, PA"
"Widener, Mr. Harry Elkins",Mr,No,First,Male,27,Young Adult,Cherbourg,211.5000,Luxury,C,C82,113503,0,2,Small Family,No,,"Elkins Park, PA"
"Widener, Mrs. George Dunton (Eleanor Elkins)",Mrs,Yes,First,Female,50,Middle Aged,Cherbourg,211.5000,Luxury,C,C80,113503,1,1,Small Family,Yes,4,"Elkins Park, PA"
"Willard, Miss. Constance",Miss,Yes,First,Female,21,Young Adult,Southampton,26.5500,Standard,Unknown,,113795,0,0,Solo,Yes,8 10,"Duluth, MN"
"Williams, Mr. Charles Duane",Mr,No,First,Male,51,Middle Aged,Cherbourg,61.3792,Premium,Unknown,,PC 17597,0,1,Small Family,No,,"Geneva, Switzerland / Radnor, PA"
"Williams, Mr. Richard Norris II",Mr,Yes,First,Male,21,Young Adult,Cherbourg,61.3792,Premium,Unknown,,PC 17597,0,1,Small Family,Yes,A,"Geneva, Switzerland / Radnor, PA"
"Williams-Lambert, Mr. Fletcher Fellows",Mr,No,First,Male,,Unknown,Southampton,35.0000,Premium,C,C128,113510,0,0,Solo,No,,"London, England"
"Wilson, Miss. Helen Alice",Miss,Yes,First,Female,31,Young Adult,Cherbourg,134.5000,Luxury,E,E39 E41,16966,0,0,Solo,Yes,3,
"Woolner, Mr. Hugh",Mr,Yes,First,Male,,Unknown,Southampton,35.5000,Premium,C,C52,19947,0,0,Solo,Yes,D,"London, England"
"Wright, Mr. George",Mr,No,First,Male,62,Senior,Southampton,26.5500,Standard,Unknown,,113807,0,0,Solo,No,,"Halifax, NS"
"Young, Miss. Marie Grice",Miss,Yes,First,Female,36,Middle Aged,Cherbourg,135.6333,Luxury,C,C32,PC 17760,0,0,Solo,Yes,8,"New York, NY / Washington, DC"
"Abelson, Mr. Samuel",Mr,No,Second,Male,30,Young Adult,Cherbourg,24.0000,Standard,Unknown,,P/PP 3381,1,0,Small Family,No,,"Russia New York, NY"
"Abelson, Mrs. Samuel (Hannah Wizosky)",Mrs,Yes,Second,Female,28,Young Adult,Cherbourg,24.0000,Standard,Unknown,,P/PP 3381,1,0,Small Family,Yes,10,"Russia New York, NY"
"Aldworth, Mr. Charles Augustus",Mr,No,Second,Male,30,Young Adult,Southampton,13.0000,Standard,Unknown,,248744,0,0,Solo,No,,"Bryn Mawr, PA, USA"
"Andrew, Mr. Edgardo Samuel",Mr,No,Second,Male,18,Teen,Southampton,11.5000,Standard,Unknown,,231945,0,0,Solo,No,,"Buenos Aires, Argentina / New Jersey, NJ"
"Andrew, Mr. Frank Thomas",Mr,No,Second,Male,25,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 34050,0,0,Solo,No,,"Cornwall, England Houghton, MI"
"Angle, Mr. William A",Mr,No,Second,Male,34,Young Adult,Southampton,26.0000,Standard,Unknown,,226875,1,0,Small Family,No,,"Warwick, England"
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Mrs,Yes,Second,Female,36,Middle Aged,Southampton,26.0000,Standard,Unknown,,226875,1,0,Small Family,Yes,11,"Warwick, England"
"Ashby, Mr. John",Mr,No,Second,Male,57,Senior,Southampton,13.0000,Standard,Unknown,,244346,0,0,Solo,No,,"West Hoboken, NJ"
"Bailey, Mr. Percy Andrew",Mr,No,Second,Male,18,Teen,Southampton,11.5000,Standard,Unknown,,29108,0,0,Solo,No,,"Penzance, Cornwall / Akron, OH"
"Baimbrigge, Mr. Charles Robert",Mr,No,Second,Male,23,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A. 31030,0,0,Solo,No,,Guernsey
"Ball, Mrs. (Ada E Hall)",Mrs,Yes,Second,Female,36,Middle Aged,Southampton,13.0000,Standard,D,D,28551,0,0,Solo,Yes,10,"Bristol, Avon / Jacksonville, FL"
"Banfield, Mr. Frederick James",Mr,No,Second,Male,28,Young Adult,Southampton,10.5000,Standard,Unknown,,C.A./SOTON 34068,0,0,Solo,No,,"Plymouth, Dorset / Houghton, MI"
"Bateman, Rev. Robert James",Clergy,No,Second,Male,51,Middle Aged,Southampton,12.5250,Standard,Unknown,,S.O.P. 1166,0,0,Solo,No,,"Jacksonville, FL"
"Beane, Mr. Edward",Mr,Yes,Second,Male,32,Young Adult,Southampton,26.0000,Standard,Unknown,,2908,1,0,Small Family,Yes,13,"Norwich / New York, NY"
"Beane, Mrs. Edward (Ethel Clarke)",Mrs,Yes,Second,Female,19,Teen,Southampton,26.0000,Standard,Unknown,,2908,1,0,Small Family,Yes,13,"Norwich / New York, NY"
"Beauchamp, Mr. Henry James",Mr,No,Second,Male,28,Young Adult,Southampton,26.0000,Standard,Unknown,,244358,0,0,Solo,No,,England
"Becker, Master. Richard F",Master,Yes,Second,Male,1,Child,Southampton,39.0000,Premium,F,F4,230136,2,1,Small Family,Yes,11,"Guntur, India / Benton Harbour, MI"
"Becker, Miss. Marion Louise",Miss,Yes,Second,Female,4,Child,Southampton,39.0000,Premium,F,F4,230136,2,1,Small Family,Yes,11,"Guntur, India / Benton Harbour, MI"
"Becker, Miss. Ruth Elizabeth",Miss,Yes,Second,Female,12,Child,Southampton,39.0000,Premium,F,F4,230136,2,1,Small Family,Yes,13,"Guntur, India / Benton Harbour, MI"
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",Mrs,Yes,Second,Female,36,Middle Aged,Southampton,39.0000,Premium,F,F4,230136,0,3,Small Family,Yes,11,"Guntur, India / Benton Harbour, MI"
"Beesley, Mr. Lawrence",Mr,Yes,Second,Male,34,Young Adult,Southampton,13.0000,Standard,D,D56,248698,0,0,Solo,Yes,13,London
"Bentham, Miss. Lilian W",Miss,Yes,Second,Female,19,Teen,Southampton,13.0000,Standard,Unknown,,28404,0,0,Solo,Yes,12,"Rochester, NY"
"Berriman, Mr. William John",Mr,No,Second,Male,23,Young Adult,Southampton,13.0000,Standard,Unknown,,28425,0,0,Solo,No,,"St Ives, Cornwall / Calumet, MI"
"Botsford, Mr. William Hull",Mr,No,Second,Male,26,Young Adult,Southampton,13.0000,Standard,Unknown,,237670,0,0,Solo,No,,"Elmira, NY / Orange, NJ"
"Bowenur, Mr. Solomon",Mr,No,Second,Male,42,Middle Aged,Southampton,13.0000,Standard,Unknown,,211535,0,0,Solo,No,,London
"Bracken, Mr. James H",Mr,No,Second,Male,27,Young Adult,Southampton,13.0000,Standard,Unknown,,220367,0,0,Solo,No,,"Lake Arthur, Chavez County, NM"
"Brown, Miss. Amelia ""Mildred""",Miss,Yes,Second,Female,24,Young Adult,Southampton,13.0000,Standard,F,F33,248733,0,0,Solo,Yes,11,"London / Montreal, PQ"
"Brown, Miss. Edith Eileen",Miss,Yes,Second,Female,15,Teen,Southampton,39.0000,Premium,Unknown,,29750,0,2,Small Family,Yes,14,"Cape Town, South Africa / Seattle, WA"
"Brown, Mr. Thomas William Solomon",Mr,No,Second,Male,60,Senior,Southampton,39.0000,Premium,Unknown,,29750,1,1,Small Family,No,,"Cape Town, South Africa / Seattle, WA"
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",Mrs,Yes,Second,Female,40,Middle Aged,Southampton,39.0000,Premium,Unknown,,29750,1,1,Small Family,Yes,14,"Cape Town, South Africa / Seattle, WA"
"Bryhl, Miss. Dagmar Jenny Ingeborg ",Miss,Yes,Second,Female,20,Young Adult,Southampton,26.0000,Standard,Unknown,,236853,1,0,Small Family,Yes,12,"Skara, Sweden / Rockford, IL"
"Bryhl, Mr. Kurt Arnold Gottfrid",Mr,No,Second,Male,25,Young Adult,Southampton,26.0000,Standard,Unknown,,236853,1,0,Small Family,No,,"Skara, Sweden / Rockford, IL"
"Buss, Miss. Kate",Miss,Yes,Second,Female,36,Middle Aged,Southampton,13.0000,Standard,Unknown,,27849,0,0,Solo,Yes,9,"Sittingbourne, England / San Diego, CA"
"Butler, Mr. Reginald Fenton",Mr,No,Second,Male,25,Young Adult,Southampton,13.0000,Standard,Unknown,,234686,0,0,Solo,No,,"Southsea, Hants"
"Byles, Rev. Thomas Roussel Davids",Clergy,No,Second,Male,42,Middle Aged,Southampton,13.0000,Standard,Unknown,,244310,0,0,Solo,No,,London
"Bystrom, Mrs. (Karolina)",Mrs,Yes,Second,Female,42,Middle Aged,Southampton,13.0000,Standard,Unknown,,236852,0,0,Solo,No,,"New York, NY"
"Caldwell, Master. Alden Gates",Master,Yes,Second,Male,0.83,Child,Southampton,29.0000,Standard,Unknown,,248738,0,2,Small Family,Yes,13,"Bangkok, Thailand / Roseville, IL"
"Caldwell, Mr. Albert Francis",Mr,Yes,Second,Male,26,Young Adult,Southampton,29.0000,Standard,Unknown,,248738,1,1,Small Family,Yes,13,"Bangkok, Thailand / Roseville, IL"
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",Mrs,Yes,Second,Female,22,Young Adult,Southampton,29.0000,Standard,Unknown,,248738,1,1,Small Family,Yes,13,"Bangkok, Thailand / Roseville, IL"
"Cameron, Miss. Clear Annie",Miss,Yes,Second,Female,35,Young Adult,Southampton,21.0000,Standard,Unknown,,F.C.C. 13528,0,0,Solo,Yes,14,"Mamaroneck, NY"
"Campbell, Mr. William",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239853,0,0,Solo,No,,Belfast
"Carbines, Mr. William",Mr,No,Second,Male,19,Teen,Southampton,13.0000,Standard,Unknown,,28424,0,0,Solo,No,,"St Ives, Cornwall / Calumet, MI"
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",Mrs,No,Second,Female,44,Middle Aged,Southampton,26.0000,Standard,Unknown,,244252,1,0,Small Family,No,,London
"Carter, Rev. Ernest Courtenay",Clergy,No,Second,Male,54,Middle Aged,Southampton,26.0000,Standard,Unknown,,244252,1,0,Small Family,No,,London
"Chapman, Mr. Charles Henry",Mr,No,Second,Male,52,Middle Aged,Southampton,13.5000,Standard,Unknown,,248731,0,0,Solo,No,,"Bronx, NY"
"Chapman, Mr. John Henry",Mr,No,Second,Male,37,Middle Aged,Southampton,26.0000,Standard,Unknown,,SC/AH 29037,1,0,Small Family,No,,"Cornwall / Spokane, WA"
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",Mrs,No,Second,Female,29,Young Adult,Southampton,26.0000,Standard,Unknown,,SC/AH 29037,1,0,Small Family,No,,"Cornwall / Spokane, WA"
"Christy, Miss. Julie Rachel",Miss,Yes,Second,Female,25,Young Adult,Southampton,30.0000,Premium,Unknown,,237789,1,1,Small Family,Yes,12,London
"Christy, Mrs. (Alice Frances)",Mrs,Yes,Second,Female,45,Middle Aged,Southampton,30.0000,Premium,Unknown,,237789,0,2,Small Family,Yes,12,London
"Clarke, Mr. Charles Valentine",Mr,No,Second,Male,29,Young Adult,Southampton,26.0000,Standard,Unknown,,2003,1,0,Small Family,No,,"England / San Francisco, CA"
"Clarke, Mrs. Charles V (Ada Maria Winfield)",Mrs,Yes,Second,Female,28,Young Adult,Southampton,26.0000,Standard,Unknown,,2003,1,0,Small Family,Yes,14,"England / San Francisco, CA"
"Coleridge, Mr. Reginald Charles",Mr,No,Second,Male,29,Young Adult,Southampton,10.5000,Standard,Unknown,,W./C. 14263,0,0,Solo,No,,"Hartford, Huntingdonshire"
"Collander, Mr. Erik Gustaf",Mr,No,Second,Male,28,Young Adult,Southampton,13.0000,Standard,Unknown,,248740,0,0,Solo,No,,"Helsinki, Finland Ashtabula, Ohio"
"Collett, Mr. Sidney C Stuart",Mr,Yes,Second,Male,24,Young Adult,Southampton,10.5000,Standard,Unknown,,28034,0,0,Solo,Yes,9,"London / Fort Byron, NY"
"Collyer, Miss. Marjorie ""Lottie""",Miss,Yes,Second,Female,8,Child,Southampton,26.2500,Standard,Unknown,,C.A. 31921,0,2,Small Family,Yes,14,"Bishopstoke, Hants / Fayette Valley, ID"
"Collyer, Mr. Harvey",Mr,No,Second,Male,31,Young Adult,Southampton,26.2500,Standard,Unknown,,C.A. 31921,1,1,Small Family,No,,"Bishopstoke, Hants / Fayette Valley, ID"
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Mrs,Yes,Second,Female,31,Young Adult,Southampton,26.2500,Standard,Unknown,,C.A. 31921,1,1,Small Family,Yes,14,"Bishopstoke, Hants / Fayette Valley, ID"
"Cook, Mrs. (Selena Rogers)",Mrs,Yes,Second,Female,22,Young Adult,Southampton,10.5000,Standard,F,F33,W./C. 14266,0,0,Solo,Yes,14,Pennsylvania
"Corbett, Mrs. Walter H (Irene Colvin)",Mrs,No,Second,Female,30,Young Adult,Southampton,13.0000,Standard,Unknown,,237249,0,0,Solo,No,,"Provo, UT"
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",Mrs,No,Second,Female,,Unknown,Southampton,21.0000,Standard,Unknown,,F.C.C. 13534,0,0,Solo,No,,"Upper Burma, India Pittsburgh, PA"
"Cotterill, Mr. Henry ""Harry""",Mr,No,Second,Male,21,Young Adult,Southampton,11.5000,Standard,Unknown,,29107,0,0,Solo,No,,"Penzance, Cornwall / Akron, OH"
"Cunningham, Mr. Alfred Fleming",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239853,0,0,Solo,No,,Belfast
"Davies, Master. John Morgan Jr",Master,Yes,Second,Male,8,Child,Southampton,36.7500,Premium,Unknown,,C.A. 33112,1,1,Small Family,Yes,14,"St Ives, Cornwall / Hancock, MI"
"Davies, Mr. Charles Henry",Mr,No,Second,Male,18,Teen,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,0,0,Solo,No,,"Lyndhurst, England"
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",Mrs,Yes,Second,Female,48,Middle Aged,Southampton,36.7500,Premium,Unknown,,C.A. 33112,0,2,Small Family,Yes,14,"St Ives, Cornwall / Hancock, MI"
"Davis, Miss. Mary",Miss,Yes,Second,Female,28,Young Adult,Southampton,13.0000,Standard,Unknown,,237668,0,0,Solo,Yes,13,"London / Staten Island, NY"
"de Brito, Mr. Jose Joaquim",Mr,No,Second,Male,32,Young Adult,Southampton,13.0000,Standard,Unknown,,244360,0,0,Solo,No,,"Portugal / Sau Paulo, Brazil"
"Deacon, Mr. Percy William",Mr,No,Second,Male,17,Teen,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,0,0,Solo,No,,
"del Carlo, Mr. Sebastiano",Mr,No,Second,Male,29,Young Adult,Cherbourg,27.7208,Standard,Unknown,,SC/PARIS 2167,1,0,Small Family,No,,"Lucca, Italy / California"
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",Mrs,Yes,Second,Female,24,Young Adult,Cherbourg,27.7208,Standard,Unknown,,SC/PARIS 2167,1,0,Small Family,Yes,12,"Lucca, Italy / California"
"Denbury, Mr. Herbert",Mr,No,Second,Male,25,Young Adult,Southampton,31.5000,Premium,Unknown,,C.A. 31029,0,0,Solo,No,,"Guernsey / Elizabeth, NJ"
"Dibden, Mr. William",Mr,No,Second,Male,18,Teen,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,0,0,Solo,No,,"New Forest, England"
"Doling, Miss. Elsie",Miss,Yes,Second,Female,18,Teen,Southampton,23.0000,Standard,Unknown,,231919,0,1,Small Family,No,,Southampton
"Doling, Mrs. John T (Ada Julia Bone)",Mrs,Yes,Second,Female,34,Young Adult,Southampton,23.0000,Standard,Unknown,,231919,0,1,Small Family,No,,Southampton
"Downton, Mr. William James",Mr,No,Second,Male,54,Middle Aged,Southampton,26.0000,Standard,Unknown,,28403,0,0,Solo,No,,"Holley, NY"
"Drew, Master. Marshall Brines",Master,Yes,Second,Male,8,Child,Southampton,32.5000,Premium,Unknown,,28220,0,2,Small Family,Yes,10,"Greenport, NY"
"Drew, Mr. James Vivian",Mr,No,Second,Male,42,Middle Aged,Southampton,32.5000,Premium,Unknown,,28220,1,1,Small Family,No,,"Greenport, NY"
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Mrs,Yes,Second,Female,34,Young Adult,Southampton,32.5000,Premium,Unknown,,28220,1,1,Small Family,Yes,10,"Greenport, NY"
"Duran y More, Miss. Asuncion",Miss,Yes,Second,Female,27,Young Adult,Cherbourg,13.8583,Standard,Unknown,,SC/PARIS 2149,1,0,Small Family,Yes,12,"Barcelona, Spain / Havana, Cuba"
"Duran y More, Miss. Florentina",Miss,Yes,Second,Female,30,Young Adult,Cherbourg,13.8583,Standard,Unknown,,SC/PARIS 2148,1,0,Small Family,Yes,12,"Barcelona, Spain / Havana, Cuba"
"Eitemiller, Mr. George Floyd",Mr,No,Second,Male,23,Young Adult,Southampton,13.0000,Standard,Unknown,,29751,0,0,Solo,No,,"England / Detroit, MI"
"Enander, Mr. Ingvar",Mr,No,Second,Male,21,Young Adult,Southampton,13.0000,Standard,Unknown,,236854,0,0,Solo,No,,"Goteborg, Sweden / Rockford, IL"
"Fahlstrom, Mr. Arne Jonas",Mr,No,Second,Male,18,Teen,Southampton,13.0000,Standard,Unknown,,236171,0,0,Solo,No,,"Oslo, Norway Bayonne, NJ"
"Faunthorpe, Mr. Harry",Mr,No,Second,Male,40,Middle Aged,Southampton,26.0000,Standard,Unknown,,2926,1,0,Small Family,No,,"England / Philadelphia, PA"
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mrs,Yes,Second,Female,29,Young Adult,Southampton,26.0000,Standard,Unknown,,2926,1,0,Small Family,Yes,16,
"Fillbrook, Mr. Joseph Charles",Mr,No,Second,Male,18,Teen,Southampton,10.5000,Standard,Unknown,,C.A. 15185,0,0,Solo,No,,"Cornwall / Houghton, MI"
"Fox, Mr. Stanley Hubert",Mr,No,Second,Male,36,Middle Aged,Southampton,13.0000,Standard,Unknown,,229236,0,0,Solo,No,,"Rochester, NY"
"Frost, Mr. Anthony Wood ""Archie""",Mr,No,Second,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,239854,0,0,Solo,No,,Belfast
"Funk, Miss. Annie Clemmer",Miss,No,Second,Female,38,Middle Aged,Southampton,13.0000,Standard,Unknown,,237671,0,0,Solo,No,,"Janjgir, India / Pennsylvania"
"Fynney, Mr. Joseph J",Mr,No,Second,Male,35,Young Adult,Southampton,26.0000,Standard,Unknown,,239865,0,0,Solo,No,,"Liverpool / Montreal, PQ"
"Gale, Mr. Harry",Mr,No,Second,Male,38,Middle Aged,Southampton,21.0000,Standard,Unknown,,28664,1,0,Small Family,No,,"Cornwall / Clear Creek, CO"
"Gale, Mr. Shadrach",Mr,No,Second,Male,34,Young Adult,Southampton,21.0000,Standard,Unknown,,28664,1,0,Small Family,No,,"Cornwall / Clear Creek, CO"
"Garside, Miss. Ethel",Miss,Yes,Second,Female,34,Young Adult,Southampton,13.0000,Standard,Unknown,,243880,0,0,Solo,Yes,12,"Brooklyn, NY"
"Gaskell, Mr. Alfred",Mr,No,Second,Male,16,Teen,Southampton,26.0000,Standard,Unknown,,239865,0,0,Solo,No,,"Liverpool / Montreal, PQ"
"Gavey, Mr. Lawrence",Mr,No,Second,Male,26,Young Adult,Southampton,10.5000,Standard,Unknown,,31028,0,0,Solo,No,,"Guernsey / Elizabeth, NJ"
"Gilbert, Mr. William",Mr,No,Second,Male,47,Middle Aged,Southampton,10.5000,Standard,Unknown,,C.A. 30769,0,0,Solo,No,,Cornwall
"Giles, Mr. Edgar",Mr,No,Second,Male,21,Young Adult,Southampton,11.5000,Standard,Unknown,,28133,1,0,Small Family,No,,"Cornwall / Camden, NJ"
"Giles, Mr. Frederick Edward",Mr,No,Second,Male,21,Young Adult,Southampton,11.5000,Standard,Unknown,,28134,1,0,Small Family,No,,"Cornwall / Camden, NJ"
"Giles, Mr. Ralph",Mr,No,Second,Male,24,Young Adult,Southampton,13.5000,Standard,Unknown,,248726,0,0,Solo,No,,"West Kensington, London"
"Gill, Mr. John William",Mr,No,Second,Male,24,Young Adult,Southampton,13.0000,Standard,Unknown,,233866,0,0,Solo,No,,"Clevedon, England"
"Gillespie, Mr. William Henry",Mr,No,Second,Male,34,Young Adult,Southampton,13.0000,Standard,Unknown,,12233,0,0,Solo,No,,"Vancouver, BC"
"Givard, Mr. Hans Kristensen",Mr,No,Second,Male,30,Young Adult,Southampton,13.0000,Standard,Unknown,,250646,0,0,Solo,No,,
"Greenberg, Mr. Samuel",Mr,No,Second,Male,52,Middle Aged,Southampton,13.0000,Standard,Unknown,,250647,0,0,Solo,No,,"Bronx, NY"
"Hale, Mr. Reginald",Mr,No,Second,Male,30,Young Adult,Southampton,13.0000,Standard,Unknown,,250653,0,0,Solo,No,,"Auburn, NY"
"Hamalainen, Master. Viljo",Master,Yes,Second,Male,0.67,Child,Southampton,14.5000,Standard,Unknown,,250649,1,1,Small Family,Yes,4,"Detroit, MI"
"Hamalainen, Mrs. William (Anna)",Mrs,Yes,Second,Female,24,Young Adult,Southampton,14.5000,Standard,Unknown,,250649,0,2,Small Family,Yes,4,"Detroit, MI"
"Harbeck, Mr. William H",Mr,No,Second,Male,44,Middle Aged,Southampton,13.0000,Standard,Unknown,,248746,0,0,Solo,No,,"Seattle, WA / Toledo, OH"
"Harper, Miss. Annie Jessie ""Nina""",Miss,Yes,Second,Female,6,Child,Southampton,33.0000,Premium,Unknown,,248727,0,1,Small Family,Yes,11,"Denmark Hill, Surrey / Chicago"
"Harper, Rev. John",Clergy,No,Second,Male,28,Young Adult,Southampton,33.0000,Premium,Unknown,,248727,0,1,Small Family,No,,"Denmark Hill, Surrey / Chicago"
"Harris, Mr. George",Mr,Yes,Second,Male,62,Senior,Southampton,10.5000,Standard,Unknown,,S.W./PP 752,0,0,Solo,Yes,15,London
"Harris, Mr. Walter",Mr,No,Second,Male,30,Young Adult,Southampton,10.5000,Standard,Unknown,,W/C 14208,0,0,Solo,No,,"Walthamstow, England"
"Hart, Miss. Eva Miriam",Miss,Yes,Second,Female,7,Child,Southampton,26.2500,Standard,Unknown,,F.C.C. 13529,0,2,Small Family,Yes,14,"Ilford, Essex / Winnipeg, MB"
"Hart, Mr. Benjamin",Mr,No,Second,Male,43,Middle Aged,Southampton,26.2500,Standard,Unknown,,F.C.C. 13529,1,1,Small Family,No,,"Ilford, Essex / Winnipeg, MB"
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Mrs,Yes,Second,Female,45,Middle Aged,Southampton,26.2500,Standard,Unknown,,F.C.C. 13529,1,1,Small Family,Yes,14,"Ilford, Essex / Winnipeg, MB"
"Herman, Miss. Alice",Miss,Yes,Second,Female,24,Young Adult,Southampton,65.0000,Premium,Unknown,,220845,1,2,Small Family,Yes,9,"Somerset / Bernardsville, NJ"
"Herman, Miss. Kate",Miss,Yes,Second,Female,24,Young Adult,Southampton,65.0000,Premium,Unknown,,220845,1,2,Small Family,Yes,9,"Somerset / Bernardsville, NJ"
"Herman, Mr. Samuel",Mr,No,Second,Male,49,Middle Aged,Southampton,65.0000,Premium,Unknown,,220845,1,2,Small Family,No,,"Somerset / Bernardsville, NJ"
"Herman, Mrs. Samuel (Jane Laver)",Mrs,Yes,Second,Female,48,Middle Aged,Southampton,65.0000,Premium,Unknown,,220845,1,2,Small Family,Yes,9,"Somerset / Bernardsville, NJ"
"Hewlett, Mrs. (Mary D Kingcome) ",Mrs,Yes,Second,Female,55,Middle Aged,Southampton,16.0000,Standard,Unknown,,248706,0,0,Solo,Yes,13,"India / Rapid City, SD"
"Hickman, Mr. Leonard Mark",Mr,No,Second,Male,24,Young Adult,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,2,0,Small Family,No,,"West Hampstead, London / Neepawa, MB"
"Hickman, Mr. Lewis",Mr,No,Second,Male,32,Young Adult,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,2,0,Small Family,No,,"West Hampstead, London / Neepawa, MB"
"Hickman, Mr. Stanley George",Mr,No,Second,Male,21,Young Adult,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,2,0,Small Family,No,,"West Hampstead, London / Neepawa, MB"
"Hiltunen, Miss. Marta",Miss,No,Second,Female,18,Teen,Southampton,13.0000,Standard,Unknown,,250650,1,1,Small Family,No,,"Kontiolahti, Finland / Detroit, MI"
"Hocking, Miss. Ellen ""Nellie""",Miss,Yes,Second,Female,20,Young Adult,Southampton,23.0000,Standard,Unknown,,29105,2,1,Small Family,Yes,4,"Cornwall / Akron, OH"
"Hocking, Mr. Richard George",Mr,No,Second,Male,23,Young Adult,Southampton,11.5000,Standard,Unknown,,29104,2,1,Small Family,No,,"Cornwall / Akron, OH"
"Hocking, Mr. Samuel James Metcalfe",Mr,No,Second,Male,36,Middle Aged,Southampton,13.0000,Standard,Unknown,,242963,0,0,Solo,No,,"Devonport, England"
"Hocking, Mrs. Elizabeth (Eliza Needs)",Mrs,Yes,Second,Female,54,Middle Aged,Southampton,23.0000,Standard,Unknown,,29105,1,3,Large Family,Yes,4,"Cornwall / Akron, OH"
"Hodges, Mr. Henry Price",Mr,No,Second,Male,50,Middle Aged,Southampton,13.0000,Standard,Unknown,,250643,0,0,Solo,No,,Southampton
"Hold, Mr. Stephen",Mr,No,Second,Male,44,Middle Aged,Southampton,26.0000,Standard,Unknown,,26707,1,0,Small Family,No,,"England / Sacramento, CA"
"Hold, Mrs. Stephen (Annie Margaret Hill)",Mrs,Yes,Second,Female,29,Young Adult,Southampton,26.0000,Standard,Unknown,,26707,1,0,Small Family,Yes,10,"England / Sacramento, CA"
"Hood, Mr. Ambrose Jr",Mr,No,Second,Male,21,Young Adult,Southampton,73.5000,Premium,Unknown,,S.O.C. 14879,0,0,Solo,No,,"New Forest, England"
"Hosono, Mr. Masabumi",Mr,Yes,Second,Male,42,Middle Aged,Southampton,13.0000,Standard,Unknown,,237798,0,0,Solo,Yes,10,"Tokyo, Japan"
"Howard, Mr. Benjamin",Mr,No,Second,Male,63,Senior,Southampton,26.0000,Standard,Unknown,,24065,1,0,Small Family,No,,"Swindon, England"
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",Mrs,No,Second,Female,60,Senior,Southampton,26.0000,Standard,Unknown,,24065,1,0,Small Family,No,,"Swindon, England"
"Hunt, Mr. George Henry",Mr,No,Second,Male,33,Young Adult,Southampton,12.2750,Standard,Unknown,,SCO/W 1585,0,0,Solo,No,,"Philadelphia, PA"
"Ilett, Miss. Bertha",Miss,Yes,Second,Female,17,Teen,Southampton,10.5000,Standard,Unknown,,SO/C 14885,0,0,Solo,No,,Guernsey
"Jacobsohn, Mr. Sidney Samuel",Mr,No,Second,Male,42,Middle Aged,Southampton,27.0000,Standard,Unknown,,243847,1,0,Small Family,No,,London
